0.0, 43;
2.8530670470756063, 633;
5.706134094151213, 1006;
8.559201141226819, 2023;
11.412268188302425, 2350;
14.265335235378032, 3259;
17.118402282453637, 3309;
19.971469329529246, 3082;
22.82453637660485, 4271;
25.677603423680456, 3947;
28.530670470756064, 5695;
31.38373751783167, 5699;
34.236804564907274, 6094;
37.08987161198288, 7025;
39.94293865905849, 7321;
42.796005706134096, 7056;
45.6490727532097, 8542;
48.502139800285306, 8134;
51.35520684736091, 10613;
54.20827389443652, 9563;
57.06134094151213, 9588;
59.91440798858773, 11273;
62.76747503566334, 12409;
65.62054208273895, 11396;
68.47360912981455, 14399;
71.32667617689016, 12771;
74.17974322396576, 12729;
77.03281027104137, 13642;
79.88587731811698, 14456;
82.73894436519258, 16458;
85.59201141226819, 15816;
88.44507845934379, 15712;
91.2981455064194, 17261;
94.15121255349501, 16846;
97.00427960057061, 17043;
99.85734664764622, 18250;
102.71041369472182, 18133;
105.56348074179743, 18951;
108.41654778887305, 18941;
111.26961483594864, 21170;
114.12268188302426, 20944;
116.97574893009985, 21338;
119.82881597717547, 23448;
122.68188302425108, 21278;
125.53495007132668, 21159;
128.38801711840227, 23265;
131.2410841654779, 25410;
134.0941512125535, 22408;
136.9472182596291, 24950;
139.80028530670472, 24424;
142.65335235378032, 26114;
145.50641940085592, 24984;
148.35948644793152, 26141;
151.21255349500714, 27056;
154.06562054208274, 26262;
156.91868758915834, 26071;
159.77175463623396, 26081;
162.62482168330956, 27276;
165.47788873038516, 28795;
168.3309557774608, 28791;
171.18402282453638, 30803;
174.03708987161198, 30768;
176.89015691868758, 28613;
179.7432239657632, 30527;
182.5962910128388, 29512;
185.4493580599144, 31997;
188.30242510699003, 31273;
191.15549215406563, 33056;
194.00855920114122, 32371;
196.86162624821682, 31700;
199.71469329529245, 34628;
202.56776034236805, 32897;
205.42082738944364, 36048;
208.27389443651927, 36499;
211.12696148359487, 34890;
213.98002853067047, 35401;
216.8330955777461, 36953;
219.6861626248217, 35383;
222.5392296718973, 37686;
225.3922967189729, 36417;
228.2453637660485, 36623;
231.0984308131241, 37773;
233.9514978601997, 38465;
236.80456490727533, 38609;
239.65763195435093, 37470;
242.51069900142653, 38738;
245.36376604850216, 39946;
248.21683309557775, 39535;
251.06990014265335, 39102;
253.92296718972895, 39030;
256.77603423680455, 40319;
259.6291012838802, 41037;
262.4821683309558, 38047;
265.33523537803137, 39341;
268.188302425107, 38706;
271.0413694721826, 38947;
273.8944365192582, 41243;
276.7475035663338, 41879;
279.60057061340945, 41577;
282.453637660485, 39125;
285.30670470756064, 39985;
288.1597717546362, 41915;
291.01283880171184, 42025;
293.86590584878746, 42548;
296.71897289586303, 42132;
299.57203994293866, 43657;
302.4251069900143, 42808;
305.27817403708985, 43296;
308.1312410841655, 42845;
310.9843081312411, 42903;
313.8373751783167, 44763;
316.6904422253923, 42698;
319.54350927246793, 45321;
322.3965763195435, 44602;
325.2496433666191, 46086;
328.10271041369475, 43005;
330.9557774607703, 45703;
333.80884450784595, 44484;
336.6619115549216, 41414;
339.51497860199714, 44032;
342.36804564907277, 45032;
345.22111269614834, 46070;
348.07417974322397, 44364;
350.9272467902996, 45642;
353.78031383737516, 45866;
356.6333808844508, 46399;
359.4864479315264, 44118;
362.339514978602, 48757;
365.1925820256776, 47517;
368.04564907275324, 47309;
370.8987161198288, 44624;
373.75178316690443, 48563;
376.60485021398006, 45367;
379.4579172610556, 44802;
382.31098430813125, 45254;
385.1640513552069, 45812;
388.01711840228245, 45729;
390.8701854493581, 46083;
393.72325249643364, 47195;
396.57631954350927, 48011;
399.4293865905849, 41938;
402.28245363766047, 47380;
405.1355206847361, 48808;
407.9885877318117, 47253;
410.8416547788873, 46290;
413.6947218259629, 46091;
416.54778887303854, 43050;
419.4008559201141, 45690;
422.25392296718974, 46204;
425.10699001426536, 46694;
427.96005706134093, 49116;
430.81312410841656, 45810;
433.6661911554922, 47270;
436.51925820256776, 47423;
439.3723252496434, 46232;
442.225392296719, 46279;
445.0784593437946, 46760;
447.9315263908702, 45387;
450.7845934379458, 48824;
453.6376604850214, 44711;
456.490727532097, 46180;
459.3437945791726, 45866;
462.1968616262482, 45784;
465.04992867332385, 46717;
467.9029957203994, 46817;
470.75606276747504, 43752;
473.60912981455067, 44904;
476.46219686162624, 43489;
479.31526390870187, 45081;
482.1683309557775, 43735;
485.02139800285306, 43530;
487.8744650499287, 45094;
490.7275320970043, 44367;
493.5805991440799, 42979;
496.4336661911555, 45209;
499.2867332382311, 43403;
502.1398002853067, 42995;
504.99286733238233, 42792;
507.8459343794579, 43283;
510.6990014265335, 45656;
513.5520684736091, 42601;
516.4051355206848, 42269;
519.2582025677603, 41373;
522.1112696148359, 42538;
524.9643366619116, 42968;
527.8174037089872, 42939;
530.6704707560627, 43328;
533.5235378031384, 41733;
536.376604850214, 40310;
539.2296718972896, 41177;
542.0827389443652, 41606;
544.9358059914408, 40948;
547.7888730385164, 41156;
550.6419400855921, 43062;
553.4950071326676, 42462;
556.3480741797432, 40733;
559.2011412268189, 40863;
562.0542082738945, 39745;
564.90727532097, 41564;
567.7603423680457, 40676;
570.6134094151213, 40314;
573.4664764621969, 40266;
576.3195435092724, 41345;
579.1726105563481, 39032;
582.0256776034237, 41589;
584.8787446504992, 38806;
587.7318116975749, 37999;
590.5848787446505, 38752;
593.4379457917261, 39909;
596.2910128388017, 39172;
599.1440798858773, 37223;
601.9971469329529, 38546;
604.8502139800286, 37528;
607.7032810271041, 36007;
610.5563480741797, 35955;
613.4094151212554, 36561;
